song_title; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
all_you_need_is_love;225.4375;0;111.0625;0.375;184.0625;44.125;13.125;219.75;7.75;97.4375;1.75;78.625;75.0[('major', 62.125), ('interval class 5', 7.25), ('major-ninth', 4.0), ('interval class 4', 1.625)];0[None];8.625[('major', 4.0), ('7', 4.0), ('interval class 3', 0.625)];0.25[('interval class 3', 0.25)];21.625[('interval class 3', 17.625), ('major', 2.0), ('7', 2.0)];9.0[('interval class 4', 6.875), ('major 7', 2.0), ('major', 0.125)];1.75[('interval class 3', 1.75)];64.75[('major', 39.0), ('7', 12.5), ('interval class 5', 9.0), ('interval class 2', 2.5), ('interval class 4', 1.75)];2.5[('interval class 3', 1.75), ('tritone', 0.75)];21.75[('minor', 19.0), ('minor 7', 2.0), ('interval class 5', 0.75)];1.75[('interval class 4', 1.75)];1.25[('dim', 0.75), ('tritone', 0.5)]
baby_youre_a_rich_man;99.625;0;58.75;0;62.75;32.25;0;241.0625;0;38.0;4.0;65.625;28.75[('major', 25.75), ('interval class 5', 2.5), ('interval class 4', 0.5)];0[None];1.0[('minor 7', 1.0)];0[None];0[None];7.5[('major', 4.5), ('major-second major tetrachord', 3.0)];0[None];36.0[('major', 27.5), ('7', 6.0), ('interval class 5', 2.5)];0[None];0[None];0[None];1.875[('dim', 1.875)]
blue_jay_way;220.375;0;4.25;6.375;93.375;2.3125;21.8125;102.5625;0;32.5625;7.5;54.75;76.875[('major', 38.25), ('interval class 5', 15.125), ('maj7', 14.0), ('interval class 4', 8.25), ('unison', 1), ('quartal', 0.25)];0[None];0[None];0[None];0.25[('minor', 0.25)];0[None];0.75[('tritone', 0.75)];0.375[('interval class 4', 0.375)];0[None];11.375[('minor-7', 5.375), ('interval class 3', 4.5), ('minor', 1.5)];6[('interval class 2', 6)];2.5[('unison', 0.875), ('interval class 2', 0.875), ('interval class 5', 0.75)]
flying;77.125;0;12.125;4.0;40.4375;31.0625;3.625;37.0;0.5;21.8125;2.625;8.375;26.25[('interval class 4', 12.75), ('major', 10.25), ('interval class 5', 3.25)];0[None];4.375[('interval class 3', 4.25), ('interval class 4', 0.125)];4.0[('tritone', 4.0)];2.875[('interval class 3', 2.875)];20.875[('interval class 5', 13.875), ('major', 4.5), ('interval class 4', 2.5)];3.625[('tritone', 3.625)];5.375[('interval class 4', 2.875), ('major', 1.5), ('interval class 5', 1.0)];0[None];5.0[('interval class 3', 5.0)];2.25[('dim', 1.5), ('interval class 3', 0.75)];0.375[('interval class 3', 0.375)]
hello_goodbye;156.6875;0;50.3125;1.75;102.1875;81.6875;3.0;151.3125;19.125;71.25;4.625;44.9375;49.375[('major', 46.75), ('interval class 4', 2.125), ('minor', 0.5)];0[None];8.875[('minor', 3.5), ('minor 7', 3.0), ('major', 1.0), ('interval class 3', 0.875), ('interval class 4', 0.5)];0[None];14.25[('interval class 3', 13.75), ('minor-7', 0.5)];18.25[('major', 7.0), ('minor', 6.0), ('interval class 4', 4.75), ('interval class 5', 0.5)];0[None];24.875[('7', 15.0), ('interval class 4', 5.875), ('major', 4.0)];5.0[('interval class 3', 5.0)];17.0[('minor', 12.0), ('interval class 5', 4.5), ('interval class 3', 0.5)];0[None];3.125[('dim', 2.0), ('interval class 3', 1.125)]
i_am_the_walrus;115.25;0.125;88.15625;70.1875;30.125;86.6875;24.5625;109.0625;36.875;45.3125;64.8125;13.9375;23.375[('major', 20.5), ('minor', 1.5), ('interval class 3', 0.875), ('interval class 4', 0.5)];0[None];15.6875[('major', 13.5), ('unison', 0.9375), ('interval class 3', 0.625), ('interval class 4', 0.625)];13.5[('major', 13.5)];0.25[('interval class 3', 0.25)];18.0[('major', 16.125), ('interval class 4', 1.5), ('interval class 5', 0.375)];1.0[('interval class 3', 1.0)];10.59375[('major', 10.5), ('interval class 3', 0.0625), ('interval class 5', 0.03125)];9.5[('major', 5.0), ('aug', 3.75), ('interval class 4', 0.75)];0.5[('interval class 3', 0.5)];7.25[('major', 5.25), ('quartal', 2)];1.3125[('interval class 3', 1.3125)]
magical_mystery_tour;220.8125;1.375;49.0625;51.75;58.875;99.625;4.25;139.75;6.25;48.3125;63.125;15.4375;63.125[('major', 52.75), ('interval class 5', 6.625), ('interval class 4', 2), ('unison', 1.0), ('interval class 3', 0.75)];0[None];7.25[('minor 7', 3.0), ('dim', 2.0), ('interval class 3', 1.25), ('minor', 1.0)];22.25[('major', 18.0), ('minor', 2.0), ('quartal', 1.0), ('interval class 5', 1.0), ('interval class 4', 0.25)];1.5[('minor', 0.75), ('interval class 3', 0.5), ('tritone', 0.25)];37.75[('major', 30.25), ('interval class 5', 3.75), ('interval class 4', 2.75), ('quartal', 1.0)];0[None];14.5[('major', 10.0), ('interval class 4', 3.75), ('interval class 3', 0.75)];0.25[('interval class 4', 0.25)];7.5625[('interval class 3', 5.5625), ('minor 7', 2.0)];20.0[('major', 9.0), ('interval class 4', 8.0), ('quartal', 2.0), ('interval class 5', 1.0)];0.1875[('interval class 3', 0.1875)]
penny_lane;102.25;0;64.4375;56.4375;27.4375;53.1875;0;111.0625;9.875;31.1875;47.0625;18.75;40.375[('minor', 18.0), ('major', 17.0), ('quartal', 4.5), ('interval class 5', 0.875)];0[None];7.125[('interval class 3', 6.125), ('minor', 1.0)];13.875[('major', 9.0), ('interval class 4', 2.75), ('interval class 5', 2.125)];2.0[('interval class 3', 2.0)];9.625[('major', 7.75), ('interval class 4', 0.75), ('interval class 5', 0.625), ('interval class 3', 0.5)];0[None];9.75[('major', 6.5), ('minor', 1.5), ('interval class 3', 0.75), ('interval class 2', 0.5), ('interval class 5', 0.5)];0[None];0[None];13.75[('major', 12.0), ('interval class 5', 1.75)];1.25[('dim', 1.25)]
strawberry_fields_forever;90.3125;23.25;29.6875;0;61.5;43.875;2.875;66.25;1.0;52.5;22.3125;18.1875;20.75[('interval class 3', 8.75), ('unison', 7.0), ('interval class 1', 5.0)];0[None];8.75[('major', 8.0), ('interval class 4', 0.75)];0[None];24.375[('major', 14.875), ('interval class 3', 7.25), ('interval class 4', 2.25)];0.375[('interval class 3', 0.375)];0[None];12.4375[('interval class 5', 7.5), ('interval class 4', 4.0), ('minor', 0.9375)];1.0[('interval class 3', 1.0)];30.875[('interval class 4', 15.875), ('major', 14.75), ('minor', 0.25)];4.75[('interval class 3', 4.75)];4.75[('interval class 3', 4.75)]
the_fool_on_the_hill;175.625;0.25;72.125;29.375;62.3125;53.3125;0.125;81.875;15.625;71.0;17.0;11.5;34.375[('interval class 3', 8), ('major', 7.875), ('interval class 4', 6.75), ('minor', 6.0), ('minor-7', 3.25), ('interval class 5', 2.5)];0[None];29.5[('minor 7', 21.0), ('interval class 3', 8.25), ('interval class 5', 0.25)];2[('interval class 4', 2)];8.0[('interval class 3', 8.0)];0.25[('interval class 4', 0.25)];0[None];10.25[('major', 6.0), ('interval class 5', 4.25)];0.5[('interval class 3', 0.5)];32.875[('minor 7', 30.0), ('minor', 2.125), ('dim', 0.75)];8.5[('major', 6.0), ('interval class 5', 2), ('interval class 4', 0.5)];2.25[('interval class 3', 2.25)]
your_mother_should_know;82.625;19.625;74.75;2.75;111.125;34.5;21.0;81.5;11.625;98.375;0;50.125;24.5[('major', 22.5), ('interval class 4', 2.0)];0[None];20.5[('major', 10.5), ('7', 6.0), ('minor', 4.0)];0[None];12.0[('major', 5.0), ('interval class 4', 2.5), ('interval class 5', 2.5), ('interval class 3', 2)];0[None];0[None];17.5[('major', 8.75), ('7', 7.0), ('interval class 4', 1.75)];0[None];34.75[('minor', 14.0), ('major', 13.0), ('interval class 5', 3.0), ('7', 3.0), ('minor-7', 1.75)];0[None];6.75[('dim', 4.0), ('major', 1.75), ('interval class 4', 1.0)]
